ID_BARRAGEM	MINERIO PRINCIPAL	ALTURA ATUAL (m)	VOLUME ATUAL (m3)	METODO CONSTRUTIVO	CATEGORIA DE RISCO	DANO POTENCIAL ASSOCIADO	CLASSE
264	Minerio de Ferro	34,5	2130284	Alteamento por linha de centro	Baixa	Alta	B
265	Minerio de Ouro Primario	10	500668,83	Alteamento a jusante	Baixa	Media	C
266	Rocha Aurifera	6	245385	Etapa unica	Baixa	Alta	B
267	Minerio de Ouro Primario	8	1270287	Alteamento a montante ou desconhecido	Media	Alta	B
268	Rocha Aurifera	25	625000	Alteamento a jusante	Media	Baixa	D
269	Minerio de Ouro Primario	22,05	4640000	Alteamento a jusante	Media	Alta	B
270	Argila	6	50000	Alteamento a jusante	Media	Media	C
271	Minerio de Ouro Primario	15	1067704,2	Alteamento por linha de centro	Media	Baixa	D
272	Minerio de Ouro Primario	10	95000	Alteamento por linha de centro	Baixa	Media	C
273	Areia	7,5	1205301,52	Alteamento a jusante	Media	Media	C
274	Rocha Aurifera	15	1183119,15	Alteamento a jusante	Baixa	Baixa	E
275	Minerio de Ouro Primario	30	2100000	Alteamento a jusante	Media	Baixa	D
276	Rocha Aurifera	51	4508500,37	Alteamento a jusante	Baixa	Alta	B
277	Rocha Aurifera	16	1654500	Alteamento por linha de centro	Baixa	Baixa	E
278	Rocha Aurifera	10	3534000	Alteamento por linha de centro	Baixa	Baixa	E
279	Rocha Aurifera	12	3704000	Alteamento a jusante	Media	Baixa	D
280	Minerio de Ouro Primario	45	1300000	Alteamento a jusante	Media	Media	C
281	Areia	14	450000	Alteamento a jusante	Media	Media	C
282	Minerio de Ouro Primario	20,3	650000	Alteamento a montante ou desconhecido	Media	Media	C
283	Minerio de Ouro Primario	15	941039,88	Alteamento a jusante	Baixa	Media	C
284	Minerio de Ouro Primario	16,5	64107,97	Etapa unica	Baixa	Media	C
285	Minerio de Ouro Primario	8	15652000	Alteamento por linha de centro	Baixa	Alta	B
286	Minerio de Ouro Primario	15,3	50676,2	Etapa unica	Baixa	Media	C
287	Minerio de Ouro Primario	19	419440,8	Etapa unica	Baixa	Alta	B
288	Areia	1,45	265000	Alteamento a jusante	Media	Media	C
289	Areia	20	867000	Alteamento a jusante	Media	Media	C
290	Minerio de Zinco	20	230000	Etapa unica	Media	Alta	B
291	Minerio de Ouro Primario	13,12	440000	Etapa unica	Baixa	Alta	B
292	Minerio de Ouro Primario	16,24	210000	Etapa unica	Baixa	Media	C
293	Minerio de Ouro Primario	13,58	150000	Etapa unica	Baixa	Media	C
294	Areia	25	490000	Alteamento a jusante	Media	Media	C
295	Areia	19	200000	Alteamento a jusante	Baixa	Baixa	E
296	Aluviao Aurifero	15	671803,89	Alteamento a jusante	Media	Media	C
297	Minerio de Ouro Primario	5	150000	Alteamento a jusante	Media	Media	C
298	Minerio de Ouro Primario	10,4	1267291,33	Alteamento a jusante	Media	Baixa	D
299	Minerio de Ouro Primario	15	642200,99	Alteamento a jusante	Baixa	Baixa	E
300	Minerio de Ouro Primario	15	582171,51	Alteamento a jusante	Baixa	Baixa	E
301	Minerio de Manganes	7,5	718027	Etapa unica	Baixa	Media	C
302	Minerio de Manganes	32	12995662	Alteamento a jusante	Baixa	Alta	B
303	Bauxita Grau Metalurgico	31,8	21100000	Alteamento a montante ou desconhecido	Baixa	Alta	B
304	Bauxita Grau Metalurgico	37	3218629	Alteamento a jusante	Baixa	Alta	B
305	Bauxita Grau Metalurgico	13	595008,65	Etapa unica	Baixa	Alta	B
306	Caulim	9	858000	Etapa unica	Baixa	Alta	B
307	Caulim	9	260000	Etapa unica	Baixa	Alta	B
308	Minerio de Ouro Primario	14,5	80000	Etapa unica	Baixa	Media	C
309	Caulim	9	850000	Etapa unica	Baixa	Alta	B
310	Caulim	9	465584	Etapa unica	Baixa	Alta	B
311	Caulim	13,5	510000	Etapa unica	Baixa	Alta	B
312	Caulim	13,5	270000	Etapa unica	Baixa	Alta	B
313	Caulim	13,5	767000	Etapa unica	Baixa	Alta	B
314	Caulim	11	366433	Etapa unica	Baixa	Media	C
315	Caulim	3	80000	Etapa unica	Baixa	Alta	B
316	Caulim	13	270000	Etapa unica	Baixa	Media	C
317	Caulim	4,5	45000	Etapa unica	Baixa	Media	C
318	Caulim	8	175000	Etapa unica	Baixa	Media	C
319	Minerio de Ouro Primario	8	130000	Alteamento a montante ou desconhecido	Media	Media	C
320	Minerio de Ouro Primario	7	87000	Alteamento a montante ou desconhecido	Baixa	Media	C
321	Caulim	11	30000	Etapa unica	Baixa	Media	C
322	Minerio de Cobre	11	1058000	Etapa unica	Baixa	Media	C
323	Areia	14,7	600000	Alteamento a jusante	Baixa	Media	C
324	Minerio de Cobre	19	220238,65	Etapa unica	Baixa	Media	C
325	Minerio de Cobre	13	891538	Etapa unica	Baixa	Media	C
326	Minerio de Cobre	63	33200000	Alteamento a jusante	Baixa	Alta	B
327	Minerio de Manganes	14,6	1724296,94	Alteamento a jusante	Baixa	Media	C
328	Caulim	35	1182758	Alteamento a jusante	Baixa	Alta	B
329	Minerio de Cobre	42,1	108444833,89	Alteamento por linha de centro	Baixa	Alta	B
330	Caulim	10	1190000	Etapa unica	Baixa	Media	C
331	Minerio de Cobre	11	969524	Etapa unica	Baixa	Media	C
332	Minerio de Cobre	16,42	2800000	Etapa unica	Baixa	Media	C
333	Minerio de Cobre	16,5	22937,88	Etapa unica	Baixa	Media	C
334	Minerio de Ferro	25	1875779,93	Etapa unica	Baixa	Media	C
335	Minerio de Ferro	24	5811299	Etapa unica	Baixa	Alta	B
336	Minerio de Ferro	34	110469304,67	Alteamento a jusante	Baixa	Alta	B
337	Minerio de Ferro	34,5	681816	Etapa unica	Baixa	Media	C
338	Minerio de Manganes	21	1662946,63	Alteamento a jusante	Baixa	Media	C
339	Bauxita Grau Nao Metalurgico	24	2879251,38	Etapa unica	Baixa	Media	C
340	Bauxita Grau Nao Metalurgico	24	3037180,56	Alteamento a jusante	Baixa	Media	C
341	Bauxita Grau Nao Metalurgico	14,8	6024760	Etapa unica	Baixa	Media	C
342	Bauxita Grau Nao Metalurgico	11,5	4178849,93	Etapa unica	Baixa	Media	C
343	Minerio de Ferro	51	4249278,83	Etapa unica	Baixa	Alta	B
344	Minerio de Ferro	30	641566	Etapa unica	Baixa	Baixa	E
345	Minerio de Ouro Primario	25	12000000	Alteamento a jusante	Media	Alta	B
346	Bauxita Grau Metalurgico	13,5	11626208	Alteamento a jusante	Baixa	Alta	B
347	Argila	15	1470000	Etapa unica	Baixa	Media	C
348	Argila	16	7300000	Alteamento a montante ou desconhecido	Baixa	Media	C
349	Argila	16	5400000	Alteamento a montante ou desconhecido	Baixa	Media	C
350	Argila	15	3600000	Alteamento a montante ou desconhecido	Baixa	Media	C
351	Argila	15	2298321	Alteamento a montante ou desconhecido	Baixa	Media	C
352	Argila	15	2200000	Alteamento a montante ou desconhecido	Baixa	Media	C
353	Argila	20	1700000	Alteamento a montante ou desconhecido	Baixa	Media	C
354	Argila	20	8900000	Alteamento a montante ou desconhecido	Baixa	Media	C
355	Argila	20	4900000	Alteamento a montante ou desconhecido	Baixa	Media	C
356	Argila	19	7107205,4	Alteamento a montante ou desconhecido	Baixa	Media	C
357	Argila	19	5455557,3	Alteamento a montante ou desconhecido	Baixa	Media	C
358	Argila	19	6994486,6	Alteamento a montante ou desconhecido	Baixa	Media	C
359	Argila	19	9274798,9	Alteamento a montante ou desconhecido	Baixa	Media	C
360	Argila	12	712790	Alteamento a montante ou desconhecido	Baixa	Media	C
361	Argila	19	4300000	Alteamento a montante ou desconhecido	Baixa	Media	C
362	Argila	16	5843082,8	Alteamento a montante ou desconhecido	Baixa	Media	C
363	Argila	16	8200000	Alteamento a montante ou desconhecido	Baixa	Media	C
364	Argila	16	11900000	Alteamento a montante ou desconhecido	Baixa	Media	C
365	Argila	10	8200000	Alteamento a montante ou desconhecido	Baixa	Media	C
366	Argila	8	2480789,2	Alteamento a montante ou desconhecido	Baixa	Media	C
367	Argila	15	8500000	Alteamento a montante ou desconhecido	Baixa	Alta	B
368	Argila	15	8956085	Alteamento a montante ou desconhecido	Baixa	Alta	B
369	Argila	22	5390783	Alteamento por linha de centro	Baixa	Media	C
370	Fluorita	22	226035	Alteamento a jusante	Media	Media	C
371	Minerio de Ouro Primario	25	302000	Alteamento a montante ou desconhecido	Baixa	Media	C
372	Fluorita	13,5	672408	Etapa unica	Media	Media	C
373	Argila Arenosa	19	204000	Etapa unica	Baixa	Alta	B
374	Aluviao Estanifero	5	105000	Etapa unica	Media	Alta	B
375	Areia	5	60000	Etapa unica	Media	Alta	B
376	Aluviao Estanifero	5	10699776	Etapa unica	Media	Media	C
377	Aluviao Estanifero	8	3595017	Etapa unica	Media	Media	C
378	Aluviao Estanifero	8	3020623	Etapa unica	Media	Alta	B
379	Aluviao Estanifero	10	9170673	Etapa unica	Media	Media	C
380	Aluviao Estanifero	14,3	288321,8	Etapa unica	Baixa	Alta	B
381	Aluviao Estanifero	10	3755613	Etapa unica	Media	Media	C
382	Aluviao Estanifero	18	435000	Etapa unica	Baixa	Media	C
383	Aluviao Estanifero	18	435000	Etapa unica	Baixa	Media	C
384	Aluviao Estanifero	18	87000	Etapa unica	Baixa	Media	C
385	Aluviao Estanifero	15	194900	Etapa unica	Media	Media	C
386	Aluviao Estanifero	20	145193,15	Etapa unica	Media	Media	C
387	Carvao Mineral	10	534000	Alteamento a montante ou desconhecido	Media	Media	C
388	Carvao Mineral	20	2371167	Alteamento a montante ou desconhecido	Media	Alta	B
389	Arenito	15	53000000	Etapa unica	Media	Baixa	D
390	Carvao Mineral	3	17250	Indefinido	Media	Media	C
391	Carvao Mineral Camada Bonito	5,3	14679,9	Etapa unica	Baixa	Alta	B
392	Carvao Mineral Camada Bonito	6,5	14368	Etapa unica	Baixa	Alta	B
393	Carvao Mineral Camada Barro Branco	7,1	500000	Etapa unica	Media	Media	C
394	Carvao Mineral	3,5	35742	Etapa unica	Baixa	Media	C
395	Carvao Mineral Camada Bonito	27	70831	Etapa unica	Baixa	Alta	B
396	Carvao Mineral Camada Bonito	20	150000	Etapa unica	Media	Alta	B
397	Carvao Mineral	10	527420	Etapa unica	Media	Alta	B
398	Carvao Mineral Camada Bonito	35	63469,61	Alteamento a montante ou desconhecido	Baixa	Alta	B
399	Carvao Mineral Camada Barro Branco	13	64629,25	Etapa unica	Baixa	Alta	B
400	Silvanita	4	17340,3	Etapa unica	Baixa	Media	C
401	Silvanita	5,5	7439,01	Etapa unica	Baixa	Media	C
402	Argila	15	1500000	Alteamento a jusante	Baixa	Baixa	E
403	Argila	15	577840,39	Alteamento a jusante	Baixa	Baixa	E
404	Calcario Dolomitico	20	8500	Etapa unica	Media	Baixa	D
405	Rocha Fosfatica	33	5301026	Alteamento a montante ou desconhecido	Baixa	Alta	B
406	Rocha Fosfatica	60	7220000	Alteamento a montante ou desconhecido	Baixa	Alta	B
407	Rocha Carbonatica	13,5	3200000	Alteamento por linha de centro	Baixa	Alta	B
408	Argila	25	659323,59	Alteamento a jusante	Media	Alta	B
409	Granito	27,36	375000	Etapa unica	Baixa	Alta	B
410	Granito	9,64	154433,29	Etapa unica	Baixa	Alta	B
411	Granito	45	3190000	Alteamento a jusante	Baixa	Alta	B
412	Argila	23,58	1800000	Alteamento a jusante	Baixa	Media	C
413	Rocha Carbonatica	60	6340000	Alteamento a montante ou desconhecido	Baixa	Alta	B
414	Argila	14	74135	Etapa unica	Media	Media	C
415	Argila	20	170000	Etapa unica	Media	Media	C
416	Argila	18	735000	Etapa unica	Baixa	Baixa	E
417	Minerio de Estanho Primario	20	260000	Alteamento a montante ou desconhecido	Media	Baixa	D
418	Argila Arenosa	12	331920	Alteamento a montante ou desconhecido	Media	Media	C
419	Argila Caulinitica	5	271000	Etapa unica	Baixa	Media	C
420	Argila Caulinitica	5	112000	Alteamento a jusante	Media	Media	C
421	Areia	14,04	157070,5	Alteamento a montante ou desconhecido	Baixa	Media	C
422	Areia Industrial	25	921154,7	Alteamento por linha de centro	Baixa	Baixa	E
423	Argila	3	399000	Etapa unica	Media	Alta	B
424	Argila Arenosa	7	704000	Alteamento a jusante	Media	Media	C
425	Fosfato	20,5	4136059,54	Alteamento a jusante	Baixa	Alta	B
426	Minerio de Estanho Primario	5	209969	Etapa unica			
427	Minerio de Estanho Primario	6	56519	Etapa unica			
428	Minerio de Estanho Primario	8	1320,09	Etapa unica			
429	Minerio de Estanho Primario	4,9	130979	Etapa unica			
430	Minerio de Estanho Primario	6	3752	Etapa unica			
431	Minerio de Estanho Primario	5	84941	Etapa unica			
432	Minerio de Estanho Primario	4	75522	Etapa unica			
433	Minerio de Cromo	5	650000	Indefinido			
434	Minerio de Ouro Primario	10	80000	Indefinido			
435	Minerio de Ferro	8	42000	Indefinido			
436	Caulim	13	245418	Etapa unica			
437	Caulim	10	52000	Etapa unica			
438	Minerio de Ouro Primario	5	82000	Indefinido			
439	Minerio de Ferro	9	700000	Indefinido			
440	Magnesita	4,78	52912,3	Etapa unica			
441	Minerio de Cobre	2	12200	Alteamento a jusante			
442	Minerio de Cobre	2	12000	Alteamento a jusante			
443	Minerio de Cobre	2	8500	Alteamento a jusante			
444	Argila	7	60277	Alteamento a jusante			
445	Fosfato	4	235467,89	Indefinido			
446	Bentonita	14	7500	Alteamento por linha de centro			
447	Cromita	2	875	Etapa unica			
448	Cromita	2	1100	Etapa unica			
449	Cromita	2	1125	Etapa unica			
450	Cromita	14,6	29688	Alteamento a montante ou desconhecido			
451	Cromita	8,5	201205	Alteamento por linha de centro			
452	Minerio de Cobre	0	323173	Indefinido			
453	Minerio de Cobre	1,5	440000	Etapa unica			
454	Minerio de Niquel	5	246848	Etapa unica			
455	Cromita	5	185520	Etapa unica			
456	Cromita	11,2	0	Alteamento por linha de centro			
457	Cromita	8,4	94325	Etapa unica			
458	Minerio de Cobre	6	100566	Alteamento por linha de centro			
459	Sedimento	1	164976	Alteamento a jusante			
460	Minerio de Cobre	2	85786	Alteamento a jusante			
461	Minerio de Cobre	14	111960	Alteamento a jusante			
462	Sedimento	2	30460	Alteamento a jusante			
463	Minerio de Cobre	6,8	10277	Alteamento a jusante			
464	Minerio de Cobre	3,5	71698	Alteamento a jusante			
465	Minerio de Cobre	9,5	102246	Alteamento a jusante			
466	Minerio de Cobre	5	172053	Alteamento a jusante			
467	Minerio de Cobre	4	155498	Alteamento a jusante			
468	Minerio de Cobre	5	141410	Alteamento a jusante			
469	Minerio de Cobre	2	7052	Alteamento a jusante			
